store_id,year,products,rating
155,2012,0,0
161,2010,8,4
161,2011,24,4
161,2012,1,3
162,2010,0,0
162,2011,0,0
162,2012,0,0
169,2010,0,0
169,2011,0,0
169,2012,0,0
171,2010,3,4
171,2011,0,4
171,2012,2,2
173,2010,4,4
173,2011,8,4
173,2012,28,4
176,2010,0,0
176,2011,0,5
176,2012,0,0
182,2010,1,4
182,2011,0,0
182,2012,0,0
183,2010,0,0
183,2011,0,0
183,2012,0,0
186,2010,0,0
186,2011,0,0
186,2012,0,0
189,2010,0,0
189,2011,1,5
189,2012,0,0
193,2010,3,4
193,2011,5,4
193,2012,1,4
200,2010,2,3
200,2011,3,3
200,2012,0,0
202,2010,1,5
202,2011,2,5
202,2012,3,4
207,2010,0,0
207,2011,0,0
207,2012,1,5
213,2010,1,4
213,2011,3,4
213,2012,2,4
214,2010,0,0
214,2011,1,5
214,2012,0,0
217,2010,1,5
217,2011,0,0
217,2012,6,3
228,2010,0,0
228,2011,0,4
228,2012,0,1
231,2010,1,5
231,2011,2,4
231,2012,3,3
235,2010,3,5
235,2011,1,4
235,2012,3,4
237,2010,6,5
237,2011,9,4
237,2012,10,4
245,2010,0,0
245,2011,0,4
245,2012,1,4
254,2010,1,1
254,2011,6,3
254,2012,2,4
255,2010,1,4
255,2011,1,1
255,2012,0,0
261,2010,0,0
261,2011,3,4
261,2012,0,0
276,2010,0,0
276,2011,0,0
276,2012,0,0
288,2010,0,0
288,2011,0,0
288,2012,0,0
290,2010,0,0
290,2011,0,0
290,2012,0,0
291,2010,1,3
291,2011,0,0
291,2012,0,0
297,2010,0,5
297,2011,0,4
297,2012,1,5
299,2010,8,4
299,2011,11,4
299,2012,12,4
302,2010,0,0
302,2011,0,0
302,2012,0,0
306,2010,0,0
306,2011,0,0
306,2012,1,5
307,2010,0,0
307,2011,0,0
307,2012,19,4
313,2010,0,0
313,2011,0,0
313,2012,0,0
317,2010,0,5
317,2011,1,3
317,2012,0,4
329,2010,0,0
329,2011,0,0
329,2012,0,0
332,2010,0,0
332,2011,0,0
332,2012,0,0
333,2010,2,3
333,2011,7,4
333,2012,9,4
342,2010,2,3
342,2011,0,5
342,2012,0,0
346,2010,0,0
346,2011,0,0
346,2012,0,0
347,2010,0,0
347,2011,0,1
347,2012,0,0
353,2010,1,4
353,2011,1,5
353,2012,0,0
355,2010,2,4
355,2011,1,5
355,2012,0,5
357,2010,0,0
357,2011,0,0
357,2012,0,0
364,2010,0,0
364,2011,0,0
364,2012,0,0
365,2010,1,5
365,2011,0,5
365,2012,0,0
369,2010,1,3
369,2011,0,5
369,2012,2,5
376,2010,1,5
376,2011,0,0
376,2012,1,5
384,2010,0,1
384,2011,0,5
384,2012,0,0
389,2010,0,0
389,2011,0,0
389,2012,0,0
390,2010,1,5
390,2011,0,0
390,2012,0,0
393,2010,0,0
393,2011,0,0
393,2012,0,0
398,2010,0,5
398,2011,0,0
398,2012,0,5
400,2010,1,4
400,2011,3,3
400,2012,3,4
404,2010,0,5
404,2011,0,0
404,2012,1,4
406,2010,0,0
406,2011,1,4
406,2012,0,5
409,2010,0,0
409,2011,2,2
409,2012,0,0
413,2010,0,0
413,2011,0,0
413,2012,0,0
414,2010,0,0
414,2011,0,0
414,2012,0,0
418,2010,0,0
418,2011,0,0
418,2012,0,0
423,2010,0,0
423,2011,19,4
423,2012,2,5
429,2010,0,0
429,2011,2,4
429,2012,2,4
433,2010,12,4
433,2011,8,4
433,2012,4,5
445,2010,3,3
445,2011,5,4
445,2012,2,1
449,2010,0,0
449,2011,0,5
449,2012,0,0
461,2010,1,4
461,2011,6,4
461,2012,2,4
466,2010,0,0
466,2011,0,0
466,2012,2,5
471,2010,0,5
471,2011,0,0
471,2012,0,0
485,2010,4,2
485,2011,0,0
485,2012,0,0
487,2010,0,0
487,2011,0,0
487,2012,0,0
492,2010,0,0
492,2011,0,0
492,2012,0,0
493,2010,0,0
493,2011,0,0
